# tau=beta*t, lambda=exp[(gamma_dot/beta)*tau], sigma_norm=sigma/mu
# tau lambda sigma_over_mu
0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00
2.290684505146183426e-03 1.000916693709138716e+00 6.705498904527052058e-03
4.581369010292366852e-03 1.001834227745634021e+00 1.337852034913656132e-02
6.872053515438550711e-03 1.002752602879808386e+00 2.001920480457081500e-02
9.162738020584733703e-03 1.003671819882690830e+00 2.662769212848333650e-02
1.145342252573091670e-02 1.004591879526017140e+00 3.320412156822484528e-02
1.374410703087710142e-02 1.005512782582230535e+00 3.974863176361658618e-02
1.603479153602328441e-02 1.006434529824482338e+00 4.626136074971082951e-02
1.832547604116946741e-02 1.007357122026632634e+00 5.274244595954009213e-02
2.061616054631565040e-02 1.008280559963250500e+00 5.919202422684733539e-02
2.290684505146183339e-02 1.009204844409615776e+00 6.561023178881565665e-02
2.519752955660801638e-02 1.010129976141718400e+00 7.199720428876690836e-02
2.748821406175420284e-02 1.011055955936260187e+00 7.835307677886524380e-02
2.977889856690038584e-02 1.011982784570654159e+00 8.467798372278989572e-02
3.206958307204656883e-02 1.012910462823026991e+00 9.097205899841699639e-02
3.436026757719275182e-02 1.013838991472217677e+00 9.723543590046308804e-02
3.665095208233893481e-02 1.014768371297779748e+00 1.034682471431388195e-01
3.894163658748511780e-02 1.015698603079981499e+00 1.096706248627785374e-01
4.123232109263130080e-02 1.016629687599805987e+00 1.158427006204529319e-01
4.352300559777748379e-02 1.017561625638952583e+00 1.219846054045829881e-01
4.581369010292366678e-02 1.018494417979836753e+00 1.280964696335268049e-01
4.810437460806984977e-02 1.019428065405591832e+00 1.341784231581678033e-01
5.039505911321603276e-02 1.020362568700068806e+00 1.402305952644791465e-01
5.268574361836221576e-02 1.021297928647836750e+00 1.462531146760781831e-01
5.497642812350840569e-02 1.022234146034184832e+00 1.522461095567797240e-01
5.726711262865458868e-02 1.023171221645121198e+00 1.582097075131169983e-01
