# tau=beta*t, lambda=exp[(gamma_dot/beta)*tau], sigma_norm=sigma/mu
# tau lambda sigma_over_mu
0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00
4.581369010292367827e-04 1.000916693709138716e+00 3.052701780318647484e-03
9.162738020584735655e-04 1.001834227745634021e+00 6.097442829250009598e-03
1.374410703087710402e-03 1.002752602879808386e+00 9.134244874519742777e-03
1.832547604116947131e-03 1.003671819882690830e+00 1.216312958370789274e-02
2.290684505146183859e-03 1.004591879526017140e+00 1.518411856445997174e-02
2.748821406175420805e-03 1.005512782582230535e+00 1.819723336469614150e-02
3.206958307204657316e-03 1.006434529824482338e+00 2.120249547282018754e-02
3.665095208233894262e-03 1.007357122026632634e+00 2.419992631792954041e-02
4.123232109263130774e-03 1.008280559963250500e+00 2.718954727002038940e-02
4.581369010292367719e-03 1.009204844409615776e+00 3.017137964019887125e-02
5.039505911321604664e-03 1.010129976141718400e+00 3.314544468088229112e-02
5.497642812350841610e-03 1.011055955936260187e+00 3.611176358600878128e-02
5.955779713380078555e-03 1.011982784570654159e+00 3.907035749123699553e-02
6.413916614409314633e-03 1.012910462823026991e+00 4.202124747415566380e-02
6.872053515438551578e-03 1.013838991472217677e+00 4.496445455448062900e-02
7.330190416467788524e-03 1.014768371297779748e+00 4.789999969426106396e-02
7.788327317497025469e-03 1.015698603079981499e+00 5.082790379808066472e-02
8.246464218526261547e-03 1.016629687599805987e+00 5.374818771325460404e-02
8.704601119555498492e-03 1.017561625638952583e+00 5.666087223003396511e-02
9.162738020584735438e-03 1.018494417979836753e+00 5.956597808180079390e-02
9.620874921613972383e-03 1.019428065405591832e+00 6.246352594526989599e-02
1.007901182264320933e-02 1.020362568700068806e+00 6.535353644068428447e-02
1.053714872367244627e-02 1.021297928647836750e+00 6.823603013201073875e-02
1.099528562470168322e-02 1.022234146034184832e+00 7.111102752714015818e-02
1.145342252573092016e-02 1.023171221645121198e+00 7.397854907807727143e-02
1.191155942676015711e-02 1.024109156267375198e+00 7.683861518114001865e-02
