sigma_0.1_tau,sigma_0.1_strain,sigma_0.1_strain_rate,sigma_0.2_tau,sigma_0.2_strain,sigma_0.2_strain_rate
0.00000000e+00,1.02478438e+00,1.35428688e-01,0.00000000e+00,1.05144801e+00,2.91818192e-01
1.00000000e-02,1.02613867e+00,1.35428688e-01,1.00000000e-02,1.05436619e+00,2.91818192e-01
2.00000000e-02,1.02750015e+00,1.36147880e-01,2.00000000e-02,1.05730822e+00,2.94203031e-01
3.00000000e-02,1.02886869e+00,1.36854310e-01,3.00000000e-02,1.06027401e+00,2.96578858e-01
4.00000000e-02,1.03024417e+00,1.37548566e-01,4.00000000e-02,1.06326348e+00,2.98946830e-01
5.00000000e-02,1.03162649e+00,1.38231222e-01,5.00000000e-02,1.06627656e+00,3.01308082e-01
6.00000000e-02,1.03301552e+00,1.38902835e-01,6.00000000e-02,1.06931320e+00,3.03663730e-01
7.00000000e-02,1.03441115e+00,1.39563945e-01,7.00000000e-02,1.07237334e+00,3.06014864e-01
8.00000000e-02,1.03581331e+00,1.40215077e-01,8.00000000e-02,1.07545697e+00,3.08362553e-01
9.00000000e-02,1.03722187e+00,1.40856738e-01,9.00000000e-02,1.07856405e+00,3.10707843e-01
1.00000000e-01,1.03863677e+00,1.41489418e-01,1.00000000e-01,1.08169457e+00,3.13051756e-01
1.10000000e-01,1.04005790e+00,1.42113593e-01,1.10000000e-01,1.08484852e+00,3.15395293e-01
1.20000000e-01,1.04148520e+00,1.42729720e-01,1.20000000e-01,1.08802591e+00,3.17739430e-01
1.30000000e-01,1.04291858e+00,1.43338241e-01,1.30000000e-01,1.09122676e+00,3.20085123e-01
1.40000000e-01,1.04435798e+00,1.43939583e-01,1.40000000e-01,1.09445110e+00,3.22433305e-01
1.50000000e-01,1.04580332e+00,1.44534156e-01,1.50000000e-01,1.09769895e+00,3.24784887e-01
1.60000000e-01,1.04725454e+00,1.45122356e-01,1.60000000e-01,1.10097035e+00,3.27140758e-01
1.70000000e-01,1.04871159e+00,1.45704562e-01,1.70000000e-01,1.10426537e+00,3.29501788e-01
1.80000000e-01,1.05017440e+00,1.46281142e-01,1.80000000e-01,1.10758406e+00,3.31868828e-01
1.90000000e-01,1.05164292e+00,1.46852446e-01,1.90000000e-01,1.11092649e+00,3.34242706e-01
2.00000000e-01,1.05311711e+00,1.47418813e-01,2.00000000e-01,1.11429273e+00,3.36624234e-01
2.10000000e-01,1.05459692e+00,1.47980566e-01,2.10000000e-01,1.11768287e+00,3.39014206e-01
2.20000000e-01,1.05608230e+00,1.48538018e-01,2.20000000e-01,1.12109701e+00,3.41413396e-01
2.30000000e-01,1.05757321e+00,1.49091467e-01,2.30000000e-01,1.12453523e+00,3.43822565e-01
2.40000000e-01,1.05906963e+00,1.49641200e-01,2.40000000e-01,1.12799766e+00,3.46242454e-01
2.50000000e-01,1.06057150e+00,1.50187492e-01,2.50000000e-01,1.13148439e+00,3.48673791e-01
2.60000000e-01,1.06207881e+00,1.50730606e-01,2.60000000e-01,1.13499557e+00,3.51117289e-01
2.70000000e-01,1.06359151e+00,1.51270795e-01,2.70000000e-01,1.13853130e+00,3.53573647e-01
2.80000000e-01,1.06510960e+00,1.51808301e-01,2.80000000e-01,1.14209174e+00,3.56043551e-01
2.90000000e-01,1.06663303e+00,1.52343356e-01,2.90000000e-01,1.14567702e+00,3.58527674e-01
3.00000000e-01,1.06816179e+00,1.52876182e-01,3.00000000e-01,1.14928728e+00,3.61026677e-01
3.10000000e-01,1.06969586e+00,1.53406992e-01,3.10000000e-01,1.15292269e+00,3.63541211e-01
3.20000000e-01,1.07123522e+00,1.53935989e-01,3.20000000e-01,1.15658341e+00,3.66071915e-01
3.30000000e-01,1.07277986e+00,1.54463368e-01,3.30000000e-01,1.16026961e+00,3.68619420e-01
3.40000000e-01,1.07432975e+00,1.54989317e-01,3.40000000e-01,1.16398145e+00,3.71184346e-01
