sigma_0.001148105625717566_tau,sigma_0.001148105625717566_strain,sigma_0.001148105625717566_strain_rate,sigma_0.2_tau,sigma_0.2_strain,sigma_0.2_strain_rate
0.00000000e+00,1.00035454e+00,1.68540724e-02,0.00000000e+00,1.06801543e+00,3.60435542e+00
5.00000000e-03,1.00043881e+00,1.68540724e-02,5.00000000e-03,1.08603720e+00,3.60435542e+00
1.00000000e-02,1.00052675e+00,1.75867808e-02,1.00000000e-02,1.10554805e+00,3.90216908e+00
1.50000000e-02,1.00061775e+00,1.82002259e-02,1.50000000e-02,1.12653517e+00,4.19742424e+00
2.00000000e-02,1.00071128e+00,1.87062774e-02,2.00000000e-02,1.14899453e+00,4.49187118e+00
2.50000000e-02,1.00080687e+00,1.91187388e-02,2.50000000e-02,1.17293417e+00,4.78792931e+00
3.00000000e-02,1.00090413e+00,1.94517074e-02,3.00000000e-02,1.19837643e+00,5.08845226e+00
3.50000000e-02,1.00100272e+00,1.97185043e-02,3.50000000e-02,1.22535923e+00,5.39655996e+00
4.00000000e-02,1.00110238e+00,1.99310829e-02,4.00000000e-02,1.25393692e+00,5.71553743e+00
4.50000000e-02,1.00120288e+00,2.00997842e-02,4.50000000e-02,1.28418087e+00,6.04879064e+00
5.00000000e-02,1.00130404e+00,2.02333193e-02,5.00000000e-02,1.31618011e+00,6.39984677e+00
5.50000000e-02,1.00140574e+00,2.03388825e-02,5.50000000e-02,1.35004205e+00,6.77238765e+00
6.00000000e-02,1.00150785e+00,2.04223270e-02,6.00000000e-02,1.38589359e+00,7.17030798e+00
6.50000000e-02,1.00161029e+00,2.04883615e-02,6.50000000e-02,1.42388255e+00,7.59779334e+00
7.00000000e-02,1.00171300e+00,2.05407410e-02,7.00000000e-02,1.46417963e+00,8.05941561e+00
7.50000000e-02,1.00181591e+00,2.05824405e-02,7.50000000e-02,1.50698086e+00,8.56024651e+00
8.00000000e-02,1.00191899e+00,2.06158049e-02,8.00000000e-02,1.55251082e+00,9.10599163e+00
8.50000000e-02,1.00202220e+00,2.06426751e-02,8.50000000e-02,1.60102657e+00,9.70314977e+00
9.00000000e-02,1.00212552e+00,2.06644921e-02,9.00000000e-02,1.65282259e+00,1.03592047e+01
9.50000000e-02,1.00222894e+00,2.06823811e-02,9.50000000e-02,1.70823688e+00,1.10828584e+01
1.00000000e-01,1.00233242e+00,2.06972193e-02,1.00000000e-01,1.76765848e+00,1.18843198e+01
1.05000000e-01,1.00243597e+00,2.07096895e-02,1.05000000e-01,1.83153680e+00,1.27756641e+01
1.10000000e-01,1.00253957e+00,2.07203225e-02,1.10000000e-01,1.90039324e+00,1.37712880e+01
1.15000000e-01,1.00264322e+00,2.07295308e-02,1.15000000e-01,1.97483570e+00,1.48884913e+01
1.20000000e-01,1.00274691e+00,2.07376346e-02,1.20000000e-01,2.05557683e+00,1.61482266e+01
1.25000000e-01,1.00285063e+00,2.07448824e-02,1.25000000e-01,2.14345723e+00,1.75760801e+01
1.30000000e-01,1.00295439e+00,2.07514671e-02,1.30000000e-01,2.23947505e+00,1.92035634e+01
1.35000000e-01,1.00305818e+00,2.07575380e-02,1.35000000e-01,2.34482425e+00,2.10698393e+01
1.40000000e-01,1.00316199e+00,2.07632112e-02,1.40000000e-01,2.46094451e+00,2.32240520e+01
1.45000000e-01,1.00326584e+00,2.07685764e-02,1.45000000e-01,2.58958707e+00,2.57285130e+01
1.50000000e-01,1.00336970e+00,2.07737033e-02,1.50000000e-01,2.73290267e+00,2.86631187e+01
1.55000000e-01,1.00347360e+00,2.07786459e-02,1.55000000e-01,2.89356046e+00,3.21315596e+01
1.60000000e-01,1.00357751e+00,2.07834459e-02,1.60000000e-01,3.07491140e+00,3.62701865e+01
1.65000000e-01,1.00368146e+00,2.07881358e-02,1.65000000e-01,3.28121577e+00,4.12608746e+01
1.70000000e-01,1.00378542e+00,2.07927407e-02,1.70000000e-01,3.51796586e+00,4.73500182e+01
1.75000000e-01,1.00388941e+00,2.07972800e-02,1.75000000e-01,3.79235133e+00,5.48770945e+01
1.80000000e-01,1.00399341e+00,2.08017688e-02,1.80000000e-01,4.11394361e+00,6.43184549e+01
1.85000000e-01,1.00409745e+00,2.08062188e-02,1.85000000e-01,4.49572262e+00,7.63558032e+01
1.90000000e-01,1.00420150e+00,2.08106391e-02,1.90000000e-01,4.95564977e+00,9.19854287e+01
1.95000000e-01,1.00430557e+00,2.08150366e-02,1.95000000e-01,5.51912865e+00,1.12695776e+02
2.00000000e-01,1.00440967e+00,2.08194168e-02,2.00000000e-01,6.22293284e+00,1.40760839e+02
2.05000000e-01,1.00451379e+00,2.08237838e-02,2.05000000e-01,7.12158384e+00,1.79730200e+02
