# tau=beta*t, lambda=exp[(gamma_dot/beta)*tau], sigma_norm=sigma/mu
# tau lambda sigma_over_mu
0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00
7.328967903056101720e-03 1.000733165424781301e+00 2.918692344235130492e-03
1.465793580611220344e-02 1.001466868381102771e+00 5.811761223582747292e-03
2.198690370916830603e-02 1.002201109263063827e+00 8.679365017538243077e-03
2.931587161222440688e-02 1.002935888465052994e+00 1.152166165958015340e-02
3.664483951528051120e-02 1.003671206381747893e+00 1.433880863130631428e-02
4.397380741833661205e-02 1.004407063408115697e+00 1.713096295670552341e-02
5.130277532139271290e-02 1.005143459939412676e+00 1.989828119655755873e-02
5.863174322444881376e-02 1.005880396371185315e+00 2.264091944296872660e-02
6.596071112750491461e-02 1.006617873099269866e+00 2.535903331403119992e-02
7.328967903056102240e-02 1.007355890519793240e+00 2.805277794861323060e-02
8.061864693361711631e-02 1.008094449029172113e+00 3.072230800126866598e-02
8.794761483667322410e-02 1.008833549024114484e+00 3.336777763727907797e-02
9.527658273972931802e-02 1.009573190901618345e+00 3.598934052780750070e-02
1.026055506427854258e-01 1.010313375058973451e+00 3.858714984518357011e-02
1.099345185458415197e-01 1.011054101893760881e+00 4.116135825829996681e-02
1.172634864488976275e-01 1.011795371803852817e+00 4.371211792812703528e-02
1.245924543519537353e-01 1.012537185187413202e+00 4.623958050334618652e-02
1.319214222550098292e-01 1.013279542442897974e+00 4.874389711609670994e-02
1.392503901580659231e-01 1.014022443969055276e+00 5.122521837783446108e-02
1.465793580611220448e-01 1.014765890164925688e+00 5.368369437530267491e-02
1.539083259641781387e-01 1.015509881429841998e+00 5.611947466661083850e-02
1.612372938672342326e-01 1.016254418163430318e+00 5.853270827742655669e-02
1.685662617702903265e-01 1.016999500765608966e+00 6.092354369726670632e-02
1.758952296733464482e-01 1.017745129636590251e+00 6.329212887590440761e-02
1.832241975764025421e-01 1.018491305176879358e+00 6.563861121986924729e-02
1.905531654794586360e-01 1.019238027787275458e+00 6.796313758905918323e-02
1.978821333825147577e-01 1.019985297868871488e+00 7.026585429344814338e-02
2.052111012855708516e-01 1.020733115823054149e+00 7.254690708989454395e-02
2.125400691886269455e-01 1.021481482051505019e+00 7.480644117905255186e-02
2.198690370916830394e-01 1.022230396956199439e+00 7.704460120237241472e-02
2.271980049947391611e-01 1.022979860939408292e+00 7.926153123920695598e-02
2.345269728977952550e-01 1.023729874403696671e+00 8.145737480400185027e-02
2.418559408008513489e-01 1.024480437751925210e+00 8.363227484358823349e-02
2.491849087039074706e-01 1.025231551387249862e+00 8.578637373456207693e-02
2.565138766069635645e-01 1.025983215713121899e+00 8.791981328075459956e-02
2.638428445100196584e-01 1.026735431133288579e+00 9.003273471079485668e-02
2.711718124130757523e-01 1.027488198051793589e+00 9.212527867575925900e-02
