sigma_0.2_time,sigma_0.2_strain,sigma_0.4_time,sigma_0.4_strain,sigma_0.6_time,sigma_0.6_strain,sigma_1.0_time,sigma_1.0_strain,sigma_3.0_time,sigma_3.0_strain
0.000000,1.054012,0.000000,1.117181,0.000000,1.191370,0.000000,1.380278,0.000000,3.035744
0.010000,1.054595,0.010000,1.118550,0.010000,1.193785,0.010000,1.385768,0.010000,3.064825
0.020000,1.055179,0.020000,1.119922,0.020000,1.196208,0.020000,1.391290,0.020000,3.094116
0.030000,1.055763,0.030000,1.121297,0.030000,1.198640,0.030000,1.396844,0.030000,3.123622
0.040000,1.056349,0.040000,1.122675,0.040000,1.201081,0.040000,1.402430,0.040000,3.153349
0.050000,1.056934,0.050000,1.124056,0.050000,1.203530,0.050000,1.408049,0.050000,3.183300
0.060000,1.057521,0.060000,1.125441,0.060000,1.205988,0.060000,1.413700,0.060000,3.213480
0.070000,1.058108,0.070000,1.126828,0.070000,1.208455,0.070000,1.419385,0.070000,3.243894
0.080000,1.058696,0.080000,1.128219,0.080000,1.210931,0.080000,1.425103,0.080000,3.274545
0.090000,1.059284,0.090000,1.129613,0.090000,1.213416,0.090000,1.430855,0.090000,3.305439
0.100000,1.059873,0.100000,1.131010,0.100000,1.215910,0.100000,1.436642,0.100000,3.336579
0.110000,1.060462,0.110000,1.132411,0.110000,1.218412,0.110000,1.442463,0.110000,3.367971
0.120000,1.061053,0.120000,1.133814,0.120000,1.220924,0.120000,1.448319,0.120000,3.399617
0.130000,1.061644,0.130000,1.135221,0.130000,1.223446,0.130000,1.454211,0.130000,3.431523
0.140000,1.062235,0.140000,1.136632,0.140000,1.225976,0.140000,1.460138,0.140000,3.463693
0.150000,1.062827,0.150000,1.138045,0.150000,1.228516,0.150000,1.466102,0.150000,3.496130
0.160000,1.063420,0.160000,1.139462,0.160000,1.231065,0.160000,1.472102,0.160000,3.528840
0.170000,1.064014,0.170000,1.140882,0.170000,1.233623,0.170000,1.478139,0.170000,3.561826
0.180000,1.064608,0.180000,1.142306,0.180000,1.236191,0.180000,1.484214,0.180000,3.595093
0.190000,1.065203,0.190000,1.143733,0.190000,1.238769,0.190000,1.490326,0.190000,3.628644
0.200000,1.065798,0.200000,1.145163,0.200000,1.241356,0.200000,1.496477,0.200000,3.662485
0.210000,1.066394,0.210000,1.146597,0.210000,1.243953,0.210000,1.502666,0.210000,3.696619
0.220000,1.066991,0.220000,1.148034,0.220000,1.246560,0.220000,1.508894,0.220000,3.731050
0.230000,1.067588,0.230000,1.149474,0.230000,1.249177,0.230000,1.515161,0.230000,3.765783
0.240000,1.068186,0.240000,1.150918,0.240000,1.251803,0.240000,1.521468,0.240000,3.800821
0.250000,1.068785,0.250000,1.152365,0.250000,1.254440,0.250000,1.527815,0.250000,3.836170
0.260000,1.069384,0.260000,1.153816,0.260000,1.257086,0.260000,1.534203,0.260000,3.871833
0.270000,1.069984,0.270000,1.155270,0.270000,1.259743,0.270000,1.540632,0.270000,3.907814
0.280000,1.070585,0.280000,1.156728,0.280000,1.262409,0.280000,1.547103,0.280000,3.944118
0.290000,1.071186,0.290000,1.158189,0.290000,1.265086,0.290000,1.553615,0.290000,3.980750
0.300000,1.071788,0.300000,1.159654,0.300000,1.267774,0.300000,1.560170,0.300000,4.017712
0.310000,1.072391,0.310000,1.161122,0.310000,1.270471,0.310000,1.566768,0.310000,4.055010
0.320000,1.072994,0.320000,1.162594,0.320000,1.273179,0.320000,1.573409,0.320000,4.092647
0.330000,1.073598,0.330000,1.164070,0.330000,1.275898,0.330000,1.580093,0.330000,4.130629
0.340000,1.074203,0.340000,1.165549,0.340000,1.278627,0.340000,1.586822,0.340000,4.168959
0.350000,1.074808,0.350000,1.167031,0.350000,1.281367,0.350000,1.593595,0.350000,4.207642
0.360000,1.075414,0.360000,1.168517,0.360000,1.284117,0.360000,1.600414,0.360000,4.246682
0.370000,1.076021,0.370000,1.170007,0.370000,1.286879,0.370000,1.607278,0.370000,4.286084
0.380000,1.076628,0.380000,1.171501,0.380000,1.289651,0.380000,1.614188,0.380000,4.325851
0.390000,1.077236,0.390000,1.172998,0.390000,1.292434,0.390000,1.621144,0.390000,4.365989
0.400000,1.077845,0.400000,1.174499,0.400000,1.295228,0.400000,1.628147,0.400000,4.406502
0.410000,1.078454,0.410000,1.176003,0.410000,1.298033,0.410000,1.635198,0.410000,4.447395
0.420000,1.079064,0.420000,1.177511,0.420000,1.300849,0.420000,1.642297,0.420000,4.488671
0.430000,1.079675,0.430000,1.179023,0.430000,1.303677,0.430000,1.649445,0.430000,4.530335
0.440000,1.080287,0.440000,1.180539,0.440000,1.306516,0.440000,1.656641,0.440000,4.572393
0.450000,1.080899,0.450000,1.182058,0.450000,1.309366,0.450000,1.663887,0.450000,4.614848
0.460000,1.081512,0.460000,1.183581,0.460000,1.312228,0.460000,1.671183,0.460000,4.657705
0.470000,1.082125,0.470000,1.185108,0.470000,1.315101,0.470000,1.678529,0.470000,4.700969
0.480000,1.082739,0.480000,1.186639,0.480000,1.317986,0.480000,1.685927,0.480000,4.744644
0.490000,1.083354,0.490000,1.188174,0.490000,1.320882,0.490000,1.693375,0.490000,4.788736
0.500000,1.083970,0.500000,1.189712,0.500000,1.323791,0.500000,1.700877,0.500000,4.833249
0.510000,1.084586,0.510000,1.191254,0.510000,1.326711,0.510000,1.708430,0.510000,4.878187
0.520000,1.085203,0.520000,1.192800,0.520000,1.329643,0.520000,1.716037,0.520000,4.923556
0.530000,1.085820,0.530000,1.194350,0.530000,1.332587,0.530000,1.723698,0.530000,4.969360
0.540000,1.086439,0.540000,1.195904,0.540000,1.335543,0.540000,1.731413,0.540000,5.015605
0.550000,1.087058,0.550000,1.197462,0.550000,1.338511,0.550000,1.739182,0.550000,5.062295
0.560000,1.087678,0.560000,1.199024,0.560000,1.341492,0.560000,1.747008,0.560000,5.109435
