sigma_0.005_time,sigma_0.005_strain,sigma_0.005_strain_rate,sigma_0.005_analytical_strain,sigma_0.005_analytical_rate
0.000000,1.001669,0.001672,1.001669,0.001674
0.010000,1.001686,0.001672,1.001686,0.001674
0.020000,1.001703,0.001672,1.001703,0.001674
0.030000,1.001720,0.001672,1.001720,0.001674
0.040000,1.001736,0.001673,1.001736,0.001674
0.050000,1.001753,0.001673,1.001753,0.001674
0.060000,1.001770,0.001673,1.001770,0.001674
0.070000,1.001787,0.001673,1.001787,0.001674
0.080000,1.001803,0.001673,1.001803,0.001674
0.090000,1.001820,0.001673,1.001820,0.001674
0.100000,1.001837,0.001673,1.001837,0.001674
0.110000,1.001853,0.001673,1.001854,0.001674
0.120000,1.001870,0.001673,1.001870,0.001674
0.130000,1.001887,0.001673,1.001887,0.001674
0.140000,1.001904,0.001673,1.001904,0.001674
0.150000,1.001920,0.001673,1.001921,0.001674
0.160000,1.001937,0.001673,1.001937,0.001675
0.170000,1.001954,0.001673,1.001954,0.001675
0.180000,1.001971,0.001673,1.001971,0.001675
0.190000,1.001987,0.001673,1.001988,0.001675
0.200000,1.002004,0.001673,1.002004,0.001675
0.210000,1.002021,0.001673,1.002021,0.001675
0.220000,1.002037,0.001673,1.002038,0.001675
0.230000,1.002054,0.001674,1.002055,0.001675
0.240000,1.002071,0.001673,1.002071,0.001675
0.250000,1.002088,0.001673,1.002088,0.001675
0.260000,1.002104,0.001674,1.002105,0.001675
0.270000,1.002121,0.001674,1.002122,0.001675
0.280000,1.002138,0.001674,1.002138,0.001675
0.290000,1.002155,0.001674,1.002155,0.001675
0.300000,1.002171,0.001674,1.002172,0.001675
0.310000,1.002188,0.001674,1.002189,0.001675
0.320000,1.002205,0.001674,1.002205,0.001675
0.330000,1.002222,0.001674,1.002222,0.001675
0.340000,1.002238,0.001674,1.002239,0.001676
0.350000,1.002255,0.001674,1.002256,0.001676
0.360000,1.002272,0.001674,1.002272,0.001676
0.370000,1.002289,0.001674,1.002289,0.001676
0.380000,1.002305,0.001674,1.002306,0.001676
0.390000,1.002322,0.001675,1.002323,0.001676
0.400000,1.002339,0.001675,1.002339,0.001676
0.410000,1.002356,0.001674,1.002356,0.001676
0.420000,1.002372,0.001675,1.002373,0.001676
0.430000,1.002389,0.001675,1.002390,0.001676
0.440000,1.002406,0.001675,1.002406,0.001676
0.450000,1.002423,0.001675,1.002423,0.001676
0.460000,1.002439,0.001675,1.002440,0.001676
0.470000,1.002456,0.001675,1.002457,0.001676
0.480000,1.002473,0.001675,1.002473,0.001676
0.490000,1.002490,0.001675,1.002490,0.001676
0.500000,1.002506,0.001675,1.002507,0.001676
0.510000,1.002523,0.001675,1.002524,0.001676
0.520000,1.002540,0.001675,1.002540,0.001677
0.530000,1.002557,0.001675,1.002557,0.001677
0.540000,1.002573,0.001675,1.002574,0.001677
0.550000,1.002590,0.001676,1.002591,0.001677
0.560000,1.002607,0.001676,1.002608,0.001677
0.570000,1.002624,0.001675,1.002624,0.001677
0.580000,1.002640,0.001675,1.002641,0.001677
0.590000,1.002657,0.001676,1.002658,0.001677
0.600000,1.002674,0.001676,1.002675,0.001677
0.610000,1.002691,0.001676,1.002691,0.001677
0.620000,1.002707,0.001676,1.002708,0.001677
0.630000,1.002724,0.001676,1.002725,0.001677
0.640000,1.002741,0.001676,1.002742,0.001677
0.650000,1.002758,0.001676,1.002758,0.001677
0.660000,1.002774,0.001676,1.002775,0.001677
0.670000,1.002791,0.001676,1.002792,0.001677
0.680000,1.002808,0.001676,1.002809,0.001677
0.690000,1.002825,0.001676,1.002826,0.001677
0.700000,1.002841,0.001676,1.002842,0.001678
0.710000,1.002858,0.001676,1.002859,0.001678
0.720000,1.002875,0.001676,1.002876,0.001678
0.730000,1.002892,0.001676,1.002893,0.001678
0.740000,1.002908,0.001676,1.002909,0.001678
0.750000,1.002925,0.001676,1.002926,0.001678
0.760000,1.002942,0.001676,1.002943,0.001678
0.770000,1.002959,0.001677,1.002960,0.001678
0.780000,1.002976,0.001677,1.002977,0.001678
0.790000,1.002992,0.001677,1.002993,0.001678
0.800000,1.003009,0.001677,1.003010,0.001678
0.810000,1.003026,0.001677,1.003027,0.001678
0.820000,1.003043,0.001677,1.003044,0.001678
0.830000,1.003059,0.001677,1.003060,0.001678
0.840000,1.003076,0.001677,1.003077,0.001678
0.850000,1.003093,0.001677,1.003094,0.001678
0.860000,1.003110,0.001677,1.003111,0.001678
0.870000,1.003126,0.001677,1.003128,0.001678
0.880000,1.003143,0.001677,1.003144,0.001679
0.890000,1.003160,0.001677,1.003161,0.001679
0.900000,1.003177,0.001677,1.003178,0.001679
0.910000,1.003194,0.001677,1.003195,0.001679
0.920000,1.003210,0.001678,1.003212,0.001679
0.930000,1.003227,0.001678,1.003228,0.001679
0.940000,1.003244,0.001677,1.003245,0.001679
0.950000,1.003261,0.001677,1.003262,0.001679
0.960000,1.003277,0.001678,1.003279,0.001679
0.970000,1.003294,0.001678,1.003295,0.001679
0.980000,1.003311,0.001677,1.003312,0.001679
0.990000,1.003328,0.001678,1.003329,0.001679
1.000000,1.003344,0.001678,1.003346,0.001679
1.010000,1.003361,0.001678,1.003363,0.001679
1.020000,1.003378,0.001678,1.003379,0.001679
1.030000,1.003395,0.001678,1.003396,0.001679
1.040000,1.003412,0.001678,1.003413,0.001679
1.050000,1.003428,0.001678,1.003430,0.001679
1.060000,1.003445,0.001678,1.003447,0.001680
1.070000,1.003462,0.001678,1.003463,0.001680
1.080000,1.003479,0.001678,1.003480,0.001680
1.090000,1.003496,0.001678,1.003497,0.001680
1.100000,1.003512,0.001678,1.003514,0.001680
1.110000,1.003529,0.001679,1.003531,0.001680
1.120000,1.003546,0.001679,1.003547,0.001680
1.130000,1.003563,0.001679,1.003564,0.001680
1.140000,1.003579,0.001679,1.003581,0.001680
1.150000,1.003596,0.001679,1.003598,0.001680
1.160000,1.003613,0.001679,1.003615,0.001680
1.170000,1.003630,0.001679,1.003631,0.001680
1.180000,1.003647,0.001679,1.003648,0.001680
1.190000,1.003663,0.001679,1.003665,0.001680
1.200000,1.003680,0.001679,1.003682,0.001680
1.210000,1.003697,0.001679,1.003699,0.001680
1.220000,1.003714,0.001679,1.003715,0.001680
1.230000,1.003731,0.001679,1.003732,0.001680
1.240000,1.003747,0.001679,1.003749,0.001681
1.250000,1.003764,0.001679,1.003766,0.001681
1.260000,1.003781,0.001679,1.003783,0.001681
1.270000,1.003798,0.001679,1.003799,0.001681
1.280000,1.003815,0.001679,1.003816,0.001681
1.290000,1.003831,0.001680,1.003833,0.001681
1.300000,1.003848,0.001679,1.003850,0.001681
1.310000,1.003865,0.001679,1.003867,0.001681
1.320000,1.003882,0.001680,1.003884,0.001681
1.330000,1.003898,0.001680,1.003900,0.001681
1.340000,1.003915,0.001680,1.003917,0.001681
1.350000,1.003932,0.001680,1.003934,0.001681
1.360000,1.003949,0.001680,1.003951,0.001681
1.370000,1.003966,0.001680,1.003968,0.001681
1.380000,1.003982,0.001680,1.003984,0.001681
1.390000,1.003999,0.001680,1.004001,0.001681
1.400000,1.004016,0.001680,1.004018,0.001681
1.410000,1.004033,0.001680,1.004035,0.001682
1.420000,1.004050,0.001680,1.004052,0.001682
1.430000,1.004066,0.001680,1.004068,0.001682
1.440000,1.004083,0.001680,1.004085,0.001682
1.450000,1.004100,0.001680,1.004102,0.001682
1.460000,1.004117,0.001681,1.004119,0.001682
1.470000,1.004134,0.001681,1.004136,0.001682
1.480000,1.004151,0.001680,1.004153,0.001682
1.490000,1.004167,0.001681,1.004169,0.001682
1.500000,1.004184,0.001681,1.004186,0.001682
1.510000,1.004201,0.001680,1.004203,0.001682
1.520000,1.004218,0.001681,1.004220,0.001682
1.530000,1.004235,0.001681,1.004237,0.001682
1.540000,1.004251,0.001681,1.004253,0.001682
1.550000,1.004268,0.001681,1.004270,0.001682
1.560000,1.004285,0.001681,1.004287,0.001682
1.570000,1.004302,0.001681,1.004304,0.001682
1.580000,1.004319,0.001681,1.004321,0.001682
1.590000,1.004335,0.001681,1.004338,0.001683
1.600000,1.004352,0.001681,1.004354,0.001683
1.610000,1.004369,0.001681,1.004371,0.001683
1.620000,1.004386,0.001681,1.004388,0.001683
1.630000,1.004403,0.001681,1.004405,0.001683
1.640000,1.004419,0.001681,1.004422,0.001683
1.650000,1.004436,0.001682,1.004439,0.001683
1.660000,1.004453,0.001682,1.004455,0.001683
1.670000,1.004470,0.001682,1.004472,0.001683
1.680000,1.004487,0.001682,1.004489,0.001683
1.690000,1.004504,0.001682,1.004506,0.001683
1.700000,1.004520,0.001682,1.004523,0.001683
1.710000,1.004537,0.001682,1.004540,0.001683
1.720000,1.004554,0.001682,1.004556,0.001683
1.730000,1.004571,0.001682,1.004573,0.001683
1.740000,1.004588,0.001682,1.004590,0.001683
1.750000,1.004604,0.001682,1.004607,0.001683
1.760000,1.004621,0.001682,1.004624,0.001683
1.770000,1.004638,0.001682,1.004641,0.001684
1.780000,1.004655,0.001682,1.004657,0.001684
1.790000,1.004672,0.001682,1.004674,0.001684
1.800000,1.004689,0.001682,1.004691,0.001684
1.810000,1.004705,0.001683,1.004708,0.001684
1.820000,1.004722,0.001682,1.004725,0.001684
1.830000,1.004739,0.001682,1.004742,0.001684
1.840000,1.004756,0.001683,1.004758,0.001684
1.850000,1.004773,0.001683,1.004775,0.001684
1.860000,1.004790,0.001683,1.004792,0.001684
1.870000,1.004806,0.001683,1.004809,0.001684
1.880000,1.004823,0.001683,1.004826,0.001684
1.890000,1.004840,0.001683,1.004843,0.001684
1.900000,1.004857,0.001683,1.004859,0.001684
1.910000,1.004874,0.001683,1.004876,0.001684
1.920000,1.004890,0.001683,1.004893,0.001684
1.930000,1.004907,0.001683,1.004910,0.001684
1.940000,1.004924,0.001683,1.004927,0.001684
1.950000,1.004941,0.001683,1.004944,0.001685
1.960000,1.004958,0.001683,1.004960,0.001685
1.970000,1.004975,0.001683,1.004977,0.001685
1.980000,1.004991,0.001683,1.004994,0.001685
1.990000,1.005008,0.001683,1.005011,0.001685
2.000000,1.005025,0.001684,1.005028,0.001685
2.010000,1.005042,0.001683,1.005045,0.001685
2.020000,1.005059,0.001684,1.005062,0.001685
2.030000,1.005076,0.001684,1.005078,0.001685
2.040000,1.005092,0.001683,1.005095,0.001685
2.050000,1.005109,0.001684,1.005112,0.001685
2.060000,1.005126,0.001684,1.005129,0.001685
2.070000,1.005143,0.001684,1.005146,0.001685
2.080000,1.005160,0.001684,1.005163,0.001685
2.090000,1.005177,0.001684,1.005180,0.001685
2.100000,1.005194,0.001684,1.005196,0.001685
2.110000,1.005210,0.001684,1.005213,0.001685
2.120000,1.005227,0.001684,1.005230,0.001685
2.130000,1.005244,0.001684,1.005247,0.001686
2.140000,1.005261,0.001684,1.005264,0.001686
2.150000,1.005278,0.001684,1.005281,0.001686
2.160000,1.005295,0.001685,1.005298,0.001686
2.170000,1.005311,0.001685,1.005314,0.001686
2.180000,1.005328,0.001684,1.005331,0.001686
2.190000,1.005345,0.001685,1.005348,0.001686
2.200000,1.005362,0.001685,1.005365,0.001686
2.210000,1.005379,0.001685,1.005382,0.001686
2.220000,1.005396,0.001685,1.005399,0.001686
2.230000,1.005412,0.001685,1.005416,0.001686
2.240000,1.005429,0.001685,1.005432,0.001686
2.250000,1.005446,0.001685,1.005449,0.001686
2.260000,1.005463,0.001685,1.005466,0.001686
2.270000,1.005480,0.001685,1.005483,0.001686
2.280000,1.005497,0.001685,1.005500,0.001686
2.290000,1.005514,0.001685,1.005517,0.001686
2.300000,1.005530,0.001685,1.005534,0.001686
2.310000,1.005547,0.001685,1.005550,0.001687
2.320000,1.005564,0.001685,1.005567,0.001687
2.330000,1.005581,0.001685,1.005584,0.001687
2.340000,1.005598,0.001685,1.005601,0.001687
2.350000,1.005615,0.001685,1.005618,0.001687
2.360000,1.005632,0.001685,1.005635,0.001687
2.370000,1.005648,0.001685,1.005652,0.001687
2.380000,1.005665,0.001686,1.005669,0.001687
2.390000,1.005682,0.001686,1.005685,0.001687
2.400000,1.005699,0.001686,1.005702,0.001687
2.410000,1.005716,0.001686,1.005719,0.001687
2.420000,1.005733,0.001686,1.005736,0.001687
2.430000,1.005750,0.001686,1.005753,0.001687
2.440000,1.005766,0.001686,1.005770,0.001687
2.450000,1.005783,0.001686,1.005787,0.001687
2.460000,1.005800,0.001686,1.005803,0.001687
2.470000,1.005817,0.001686,1.005820,0.001687
2.480000,1.005834,0.001686,1.005837,0.001687
2.490000,1.005851,0.001686,1.005854,0.001688
2.500000,1.005868,0.001686,1.005871,0.001688
2.510000,1.005884,0.001686,1.005888,0.001688
2.520000,1.005901,0.001687,1.005905,0.001688
2.530000,1.005918,0.001686,1.005922,0.001688
2.540000,1.005935,0.001686,1.005938,0.001688
2.550000,1.005952,0.001687,1.005955,0.001688
2.560000,1.005969,0.001687,1.005972,0.001688
2.570000,1.005986,0.001686,1.005989,0.001688
2.580000,1.006003,0.001687,1.006006,0.001688
2.590000,1.006019,0.001687,1.006023,0.001688
2.600000,1.006036,0.001687,1.006040,0.001688
2.610000,1.006053,0.001687,1.006057,0.001688
2.620000,1.006070,0.001687,1.006074,0.001688
2.630000,1.006087,0.001687,1.006090,0.001688
2.640000,1.006104,0.001687,1.006107,0.001688
2.650000,1.006121,0.001687,1.006124,0.001688
2.660000,1.006137,0.001687,1.006141,0.001688
2.670000,1.006154,0.001687,1.006158,0.001689
2.680000,1.006171,0.001687,1.006175,0.001689
2.690000,1.006188,0.001687,1.006192,0.001689
2.700000,1.006205,0.001688,1.006209,0.001689
2.710000,1.006222,0.001688,1.006225,0.001689
2.720000,1.006239,0.001688,1.006242,0.001689
2.730000,1.006256,0.001688,1.006259,0.001689
2.740000,1.006272,0.001688,1.006276,0.001689
2.750000,1.006289,0.001688,1.006293,0.001689
2.760000,1.006306,0.001688,1.006310,0.001689
2.770000,1.006323,0.001688,1.006327,0.001689
2.780000,1.006340,0.001688,1.006344,0.001689
2.790000,1.006357,0.001688,1.006361,0.001689
2.800000,1.006374,0.001688,1.006378,0.001689
2.810000,1.006391,0.001688,1.006394,0.001689
2.820000,1.006407,0.001688,1.006411,0.001689
2.830000,1.006424,0.001688,1.006428,0.001689
2.840000,1.006441,0.001688,1.006445,0.001689
2.850000,1.006458,0.001688,1.006462,0.001690
2.860000,1.006475,0.001688,1.006479,0.001690
2.870000,1.006492,0.001688,1.006496,0.001690
2.880000,1.006509,0.001689,1.006513,0.001690
2.890000,1.006526,0.001688,1.006530,0.001690
2.900000,1.006543,0.001689,1.006546,0.001690
2.910000,1.006559,0.001689,1.006563,0.001690
2.920000,1.006576,0.001688,1.006580,0.001690
2.930000,1.006593,0.001689,1.006597,0.001690
2.940000,1.006610,0.001689,1.006614,0.001690
2.950000,1.006627,0.001689,1.006631,0.001690
2.960000,1.006644,0.001689,1.006648,0.001690
2.970000,1.006661,0.001689,1.006665,0.001690
2.980000,1.006678,0.001689,1.006682,0.001690
2.990000,1.006695,0.001689,1.006699,0.001690
3.000000,1.006711,0.001689,1.006715,0.001690
3.010000,1.006728,0.001689,1.006732,0.001690
3.020000,1.006745,0.001689,1.006749,0.001691
3.030000,1.006762,0.001689,1.006766,0.001691
3.040000,1.006779,0.001689,1.006783,0.001691
3.050000,1.006796,0.001689,1.006800,0.001691
3.060000,1.006813,0.001690,1.006817,0.001691
3.070000,1.006830,0.001690,1.006834,0.001691
3.080000,1.006847,0.001690,1.006851,0.001691
3.090000,1.006863,0.001690,1.006868,0.001691
3.100000,1.006880,0.001689,1.006885,0.001691
3.110000,1.006897,0.001690,1.006901,0.001691
3.120000,1.006914,0.001690,1.006918,0.001691
3.130000,1.006931,0.001690,1.006935,0.001691
3.140000,1.006948,0.001690,1.006952,0.001691
3.150000,1.006965,0.001690,1.006969,0.001691
3.160000,1.006982,0.001690,1.006986,0.001691
3.170000,1.006999,0.001690,1.007003,0.001691
3.180000,1.007016,0.001690,1.007020,0.001691
3.190000,1.007032,0.001690,1.007037,0.001691
3.200000,1.007049,0.001690,1.007054,0.001692
3.210000,1.007066,0.001690,1.007071,0.001692
3.220000,1.007083,0.001690,1.007087,0.001692
3.230000,1.007100,0.001690,1.007104,0.001692
3.240000,1.007117,0.001690,1.007121,0.001692
3.250000,1.007134,0.001691,1.007138,0.001692
3.260000,1.007151,0.001691,1.007155,0.001692
